s0,s1,s2,transform,action,overall
CC,CC,CC,0.0199392,0.28919,0.567401
CC,CC,CC,0.012433,0.260279,0.343073
CC,CC,CC,0.0164183,0.258684,0.341763
CC,CC,CC,0.0156973,0.255729,0.354227
CC,CC,CC,0.0157166,0.255036,0.335609
CC,CC,CC,0.015562,0.254557,0.337753
CC,CC,CC,0.0157812,0.25426,0.331908
CC,CC,CC,0.0155735,0.254396,0.334577
CC,CC,CC,0.0155685,0.25399,0.331733
CC,CC,CC,0.015534,0.254049,0.34853
CC,CC,CC,0.0117625,0.25473,0.338846
CC,CC,CC,0.0155465,0.256987,0.350482
CC,CC,CC,0.0156424,0.257434,0.340917
CC,CC,CC,0.0157005,0.259196,0.342283
CC,CC,CC,0.0157094,0.25846,0.339669
CC,CC,CC,0.0158019,0.258111,0.358233
CC,CC,CC,0.0158656,0.257715,0.34484
CC,CC,CC,0.0117135,0.258884,0.344404
CC,CC,CC,0.0157485,0.258751,0.35365
CC,CC,CC,0.0159153,0.259667,0.350212
CC,CC,RR,0.017617,0.258899,0.340554
CC,CC,RR,0.0173338,0.259304,0.358727
CC,CC,RR,0.0173901,0.259282,0.343975
CC,CC,RR,0.0172313,0.258842,0.349161
CC,CC,RR,0.0173771,0.25861,0.340327
CC,CC,RR,0.0172124,0.258,0.33717
CC,CC,RR,0.0173234,0.25827,0.341102
CC,CC,RR,0.013114,0.256541,0.352829
CC,CC,RR,0.0171497,0.255477,0.341112
CC,CC,RR,0.0172019,0.256504,0.336288
CC,CC,RR,0.0172693,0.256491,0.341855
CC,CC,RR,0.0132586,0.256635,0.34262
CC,CC,RR,0.0169974,0.25645,0.339644
CC,CC,RR,0.0171453,0.255809,0.350035
CC,CC,RR,0.0135826,0.255648,0.339294
CC,CC,RR,0.0172374,0.255001,0.334656
CC,CC,RR,0.0131703,0.252645,0.334215
CC,CC,RR,0.016858,0.252306,0.328705
CC,CC,RR,0.017046,0.253994,0.337349
CC,CC,RR,0.0169292,0.253096,0.351383
CC,CC,CR,0.0160285,0.254545,0.33573
CC,CC,CR,0.0159223,0.255224,0.338557
CC,CC,CR,0.0157763,0.254961,0.342394
CC,CC,CR,0.0158214,0.254821,0.336654
CC,CC,CR,0.0159247,0.25413,0.332596
CC,CC,CR,0.0118235,0.253867,0.350283
CC,CC,CR,0.0158443,0.254054,0.335196
CC,CC,CR,0.0158324,0.25402,0.342856
CC,CC,CR,0.0157667,0.253786,0.333446
CC,CC,CR,0.0157637,0.253467,0.332021
CC,CC,CR,0.0156615,0.253719,0.334407
CC,CC,CR,0.0118271,0.253942,0.348676
CC,CC,CR,0.0157446,0.253916,0.337512
CC,CC,CR,0.0119314,0.255612,0.336499
CC,CC,CR,0.0118046,0.257103,0.336417
CC,CC,CR,0.015654,0.258549,0.337744
CC,CC,CR,0.0159163,0.256455,0.339386
CC,CC,CR,0.0158517,0.255729,0.338301
CC,CC,CR,0.0121345,0.256015,0.366623
CC,CC,CR,0.0155928,0.255699,0.332871
