alg,time
static,0.794162
static,0.637341
static,0.439256
static,0.444048
static,0.437823
static,0.445179
static,0.450127
static,0.448495
static,0.452309
static,0.449225
static,0.53689
static,0.507993
static,0.537243
static,0.521454
static,0.467589
static,0.544237
static,0.534529
static,0.510959
static,0.539093
static,0.538143
static,0.550179
static,0.566298
static,0.562684
static,0.552656
static,0.534614
static,0.498209
static,0.527505
static,0.535451
static,0.50936
static,0.52815
static,0.520988
static,0.546888
static,0.530934
static,0.459013
static,0.446048
static,0.502138
static,0.544695
static,0.473997
static,0.547136
static,0.524818
static,0.541172
static,0.539123
static,0.509711
static,0.538916
static,0.537109
static,0.513495
static,0.47947
static,0.525927
static,0.520166
static,0.541452
static,0.47837
static,0.513298
static,0.537599
static,0.463965
static,0.455327
static,0.502512
static,0.539261
static,0.538672
static,0.539828
static,0.510518
static,0.524373
static,0.532814
static,0.501787
static,0.529876
static,0.478473
static,0.493915
static,0.449631
static,0.465787
static,0.450157
static,0.517953
static,0.501491
static,0.51339
static,0.538215
static,0.534239
static,0.454641
static,0.541133
static,0.535261
static,0.469637
static,0.453583
static,0.441329
static,0.446334
static,0.447059
static,0.462846
static,0.529539
static,0.530583
static,0.554129
static,0.54199
static,0.469725
static,0.48844
static,0.483262
static,0.449039
static,0.440849
static,0.444012
static,0.442281
static,0.532841
static,0.541933
static,0.527283
static,0.440394
static,0.445944
static,0.440046
dynamic,11.9721
dynamic,7.28149
dynamic,1.11039
dynamic,0.548706
dynamic,0.464493
dynamic,0.471381
dynamic,0.473881
dynamic,0.461
dynamic,0.483388
dynamic,0.569081
dynamic,0.587373
dynamic,0.577566
dynamic,0.517342
dynamic,0.49149
dynamic,0.563184
dynamic,0.542815
dynamic,0.572268
dynamic,0.57162
dynamic,0.489041
dynamic,0.572767
dynamic,0.570374
dynamic,0.509537
dynamic,0.521974
dynamic,0.4869
dynamic,0.513317
dynamic,0.547759
dynamic,0.500284
dynamic,0.546369
dynamic,0.58222
dynamic,0.579941
dynamic,0.52506
dynamic,0.551116
dynamic,0.538404
dynamic,0.492583
dynamic,0.557568
dynamic,0.557318
dynamic,0.481069
dynamic,0.45553
dynamic,0.501603
dynamic,0.459548
dynamic,0.468736
dynamic,0.552558
dynamic,0.556966
dynamic,0.571505
dynamic,0.474282
dynamic,0.566898
dynamic,0.563719
dynamic,0.48344
dynamic,0.56828
dynamic,0.556543
dynamic,0.542765
dynamic,0.529399
dynamic,0.486675
dynamic,0.56746
dynamic,0.536022
dynamic,0.467589
dynamic,0.473428
dynamic,0.527626
dynamic,0.526362
dynamic,0.520986
dynamic,0.47314
dynamic,0.546892
dynamic,0.535587
dynamic,0.568929
dynamic,0.575524
dynamic,0.534214
dynamic,0.564604
dynamic,0.574452
dynamic,0.579852
dynamic,0.479491
dynamic,0.473094
dynamic,0.537389
dynamic,0.551664
dynamic,0.581378
dynamic,0.578126
dynamic,0.554644
dynamic,0.58241
dynamic,0.562732
dynamic,0.477768
dynamic,0.477463
dynamic,0.508703
dynamic,0.470709
dynamic,0.506322
dynamic,0.577322
dynamic,0.534712
dynamic,0.563438
dynamic,0.501735
dynamic,0.519919
dynamic,0.528411
dynamic,0.470295
dynamic,0.461808
dynamic,0.549895
dynamic,0.484554
dynamic,0.563538
dynamic,0.503101
dynamic,0.528813
dynamic,0.55344
dynamic,0.547383
dynamic,0.454221
dynamic,0.494896
