alg,time
static,0.795071
static,0.439051
static,0.498032
static,0.460215
static,0.452159
static,0.50441
static,0.50196
static,0.518672
static,0.499266
static,0.457754
static,0.457652
static,0.449741
static,0.441822
static,0.447449
static,0.450322
static,0.454826
static,0.459437
static,0.513454
static,0.517966
static,0.474762
static,0.512069
static,0.500977
static,0.497769
static,0.502237
static,0.50126
static,0.501521
static,0.485094
static,0.43006
static,0.488783
static,0.463453
static,0.427885
static,0.47216
static,0.508221
static,0.469458
static,0.43377
static,0.430537
static,0.43546
static,0.439715
static,0.445188
static,0.510005
static,0.496556
static,0.545629
static,0.500471
static,0.547714
static,0.739104
static,1.09984
static,1.36373
static,1.11997
static,0.883117
static,0.502054
static,0.516065
static,0.492812
static,0.487114
static,0.467017
static,0.476135
static,0.479752
static,0.448989
static,0.442291
static,0.488615
static,0.530322
static,0.472998
static,0.498743
static,0.516186
static,0.512321
static,0.459663
static,0.435959
static,0.441422
static,0.484441
static,0.515705
static,0.499991
static,0.49833
static,0.477436
static,0.493189
static,0.448227
static,0.514739
static,0.513583
static,0.485364
static,0.439609
static,0.436287
static,0.467609
static,0.51892
static,0.444099
static,0.489861
static,0.505316
static,0.454917
static,0.425149
static,0.421503
static,0.420595
static,0.420898
static,0.439719
static,0.422081
static,0.42326
static,0.428341
static,0.449795
static,0.439706
static,0.4733
static,0.446959
static,0.487081
static,0.508776
static,0.510864
dynamic,12.0233
dynamic,6.75621
dynamic,0.739228
dynamic,0.526476
dynamic,0.478197
dynamic,0.566371
dynamic,0.566619
dynamic,0.497432
dynamic,0.524884
dynamic,0.485443
dynamic,0.467769
dynamic,0.466097
dynamic,0.488799
dynamic,0.482584
dynamic,0.570832
dynamic,0.483633
dynamic,0.464022
dynamic,0.466586
dynamic,0.49562
dynamic,0.57001
dynamic,0.571939
dynamic,0.522907
dynamic,0.469024
dynamic,0.462379
dynamic,0.472089
dynamic,0.565533
dynamic,0.54571
dynamic,0.464842
dynamic,0.46914
dynamic,0.464764
dynamic,0.504027
dynamic,0.462506
dynamic,0.467542
dynamic,0.4697
dynamic,0.470529
dynamic,0.46731
dynamic,0.470583
dynamic,0.504869
dynamic,0.584267
dynamic,0.584106
dynamic,0.610348
dynamic,0.606055
dynamic,0.566048
dynamic,0.584833
dynamic,0.531951
dynamic,0.573662
dynamic,0.557938
dynamic,0.469072
dynamic,0.48632
dynamic,0.475905
dynamic,0.474306
dynamic,0.500679
dynamic,0.559082
dynamic,0.468997
dynamic,0.461899
dynamic,0.471511
dynamic,0.473601
dynamic,0.473077
dynamic,0.569467
dynamic,0.512514
dynamic,0.578329
dynamic,0.567748
dynamic,0.550782
dynamic,0.556325
dynamic,0.56319
dynamic,0.577695
dynamic,0.556041
dynamic,0.560823
dynamic,0.562705
dynamic,0.457388
dynamic,0.466738
dynamic,0.465424
dynamic,0.45974
dynamic,0.458836
dynamic,0.464408
dynamic,0.530662
dynamic,0.469487
dynamic,0.457596
dynamic,0.466528
dynamic,0.531623
dynamic,0.542547
dynamic,0.460685
dynamic,0.467155
dynamic,0.501946
dynamic,0.504277
dynamic,0.46641
dynamic,0.502635
dynamic,0.534521
dynamic,0.575439
dynamic,0.574222
dynamic,0.528582
dynamic,0.571949
dynamic,0.579002
dynamic,0.534731
dynamic,0.576955
dynamic,0.517455
dynamic,0.541369
dynamic,0.567907
dynamic,0.57946
dynamic,0.524365
